City,Venue,Host_Country,Date,Match Type,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Team 1 Wicket Keeper,Team 2 Wicket Keeper,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Chennai,"MA Chidambaram Stadium, Chepauk",India,12-05-2012,Group Stage,Chennai Super Kings,Delhi Daredevils,,,,,Chennai Super Kings,field,Delhi Daredevils,Chennai Super Kings,0,1,,9,BW Hilfenhaus,S Das,BR Doctrove
Jaipur,Sawai Mansingh Stadium,India,13-05-2012,Group Stage,Rajasthan Royals,Pune Warriors,,,,,Rajasthan Royals,bat,Rajasthan Royals,Rajasthan Royals,1,0,45,,A Chandila,BF Bowden,SK Tarapore
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,13-05-2012,Group Stage,Kings XI Punjab,Deccan Chargers,,,,,Deccan Chargers,bat,Deccan Chargers,Kings XI Punjab,0,1,,4,DJ Hussey,HDPK Dharmasena,BNJ Oxenford
Bangalore,M Chinnaswamy Stadium,India,14-05-2012,Group Stage,Royal Challengers Bangalore,Mumbai Indians,,,,,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,0,1,,5,AT Rayudu,S Das,BR Doctrove
Kolkata,Eden Gardens,India,14-05-2012,Group Stage,Kolkata Knight Riders,Chennai Super Kings,,,,,Chennai Super Kings,field,Kolkata Knight Riders,Chennai Super Kings,0,1,,5,MEK Hussey,JD Cloete,SJA Taufel
Delhi,Feroz Shah Kotla,India,15-05-2012,Group Stage,Delhi Daredevils,Kings XI Punjab,,,,,Kings XI Punjab,bat,Kings XI Punjab,Delhi Daredevils,0,1,,5,UT Yadav,HDPK Dharmasena,BNJ Oxenford
Mumbai,Wankhede Stadium,India,16-05-2012,Group Stage,Mumbai Indians,Kolkata Knight Riders,,,,,Mumbai Indians,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,32,,SP Narine,S Das,BR Doctrove
Dharamsala,Himachal Pradesh Cricket Association Stadium,India,17-05-2012,Group Stage,Kings XI Punjab,Chennai Super Kings,,,,,Kings XI Punjab,field,Chennai Super Kings,Kings XI Punjab,0,1,,6,AC Gilchrist,VA Kulkarni,SK Tarapore
Delhi,Feroz Shah Kotla,India,17-05-2012,Group Stage,Delhi Daredevils,Royal Challengers Bangalore,,,,,Delhi Daredevils,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,21,,CH Gayle,HDPK Dharmasena,C Shamshuddin
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,18-05-2012,Group Stage,Deccan Chargers,Rajasthan Royals,,,,,Rajasthan Royals,bat,Rajasthan Royals,Deccan Chargers,0,1,,5,DW Steyn,S Ravi,SJA Taufel
