City,Venue,Host_Country,Date,Match Type,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Team 1 Wicket Keeper,Team 2 Wicket Keeper,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Sharjah,Sharjah Cricket Stadium,United Arab Emirates,17-04-2014,Group Stage,Delhi Daredevils,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Delhi Daredevils,Royal Challengers Bangalore,0,1,,8,YS Chahal,Aleem Dar,S Ravi
Abu Dhabi,Sheikh Zayed Stadium,United Arab Emirates,18-04-2014,Group Stage,Chennai Super Kings,Kings XI Punjab,,,,,Chennai Super Kings,bat,Chennai Super Kings,Kings XI Punjab,0,1,,6,GJ Maxwell,RK Illingworth,C Shamshuddin
Abu Dhabi,Sheikh Zayed Stadium,United Arab Emirates,18-04-2014,Group Stage,Sunrisers Hyderabad,Rajasthan Royals,,,,,Rajasthan Royals,field,Sunrisers Hyderabad,Rajasthan Royals,0,1,,4,AM Rahane,BF Bowden,RK Illingworth
Dubai,Dubai International Cricket Stadium,United Arab Emirates,19-04-2014,Group Stage,Royal Challengers Bangalore,Mumbai Indians,,,,,Royal Challengers Bangalore,field,Mumbai Indians,Royal Challengers Bangalore,0,1,,7,PA Patel,Aleem Dar,AK Chaudhary
Dubai,Dubai International Cricket Stadium,United Arab Emirates,19-04-2014,Group Stage,Kolkata Knight Riders,Delhi Daredevils,,,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Delhi Daredevils,0,1,,4,JP Duminy,Aleem Dar,VA Kulkarni
Sharjah,Sharjah Cricket Stadium,United Arab Emirates,20-04-2014,Group Stage,Rajasthan Royals,Kings XI Punjab,,,,,Kings XI Punjab,field,Rajasthan Royals,Kings XI Punjab,0,1,,7,GJ Maxwell,BF Bowden,M Erasmus
Abu Dhabi,Sheikh Zayed Stadium,United Arab Emirates,21-04-2014,Group Stage,Chennai Super Kings,Delhi Daredevils,,,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,93,,SK Raina,RK Illingworth,C Shamshuddin
Sharjah,Sharjah Cricket Stadium,United Arab Emirates,22-04-2014,Group Stage,Kings XI Punjab,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,field,Kings XI Punjab,Kings XI Punjab,1,0,72,,GJ Maxwell,M Erasmus,S Ravi
Dubai,Dubai International Cricket Stadium,United Arab Emirates,23-04-2014,Group Stage,Rajasthan Royals,Chennai Super Kings,,,,,Rajasthan Royals,field,Chennai Super Kings,Chennai Super Kings,1,0,7,,RA Jadeja,HDPK Dharmasena,RK Illingworth
Sharjah,Sharjah Cricket Stadium,United Arab Emirates,24-04-2014,Group Stage,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,2,,CA Lynn,Aleem Dar,VA Kulkarni
Dubai,Dubai International Cricket Stadium,United Arab Emirates,25-04-2014,Group Stage,Sunrisers Hyderabad,Delhi Daredevils,,,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,4,,AJ Finch,M Erasmus,S Ravi
Dubai,Dubai International Cricket Stadium,United Arab Emirates,25-04-2014,Group Stage,Chennai Super Kings,Mumbai Indians,,,,,Mumbai Indians,bat,Mumbai Indians,Chennai Super Kings,0,1,,7,MM Sharma,BF Bowden,M Erasmus
Abu Dhabi,Sheikh Zayed Stadium,United Arab Emirates,26-04-2014,Group Stage,Rajasthan Royals,Royal Challengers Bangalore,,,,,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,0,1,,6,PV Tambe,HDPK Dharmasena,C Shamshuddin
Abu Dhabi,Sheikh Zayed Stadium,United Arab Emirates,26-04-2014,Group Stage,Kolkata Knight Riders,Kings XI Punjab,,,,,Kolkata Knight Riders,field,Kings XI Punjab,Kings XI Punjab,1,0,23,,Sandeep Sharma,HDPK Dharmasena,RK Illingworth
Sharjah,Sharjah Cricket Stadium,United Arab Emirates,27-04-2014,Group Stage,Delhi Daredevils,Mumbai Indians,,,,,Mumbai Indians,bat,Mumbai Indians,Delhi Daredevils,0,1,,6,M Vijay,Aleem Dar,VA Kulkarni
Sharjah,Sharjah Cricket Stadium,United Arab Emirates,27-04-2014,Group Stage,Sunrisers Hyderabad,Chennai Super Kings,,,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Chennai Super Kings,0,1,,5,DR Smith,AK Chaudhary,VA Kulkarni
Dubai,Dubai International Cricket Stadium,United Arab Emirates,28-04-2014,Group Stage,Kings XI Punjab,Royal Challengers Bangalore,,,,,Kings XI Punjab,field,Royal Challengers Bangalore,Kings XI Punjab,0,1,,5,Sandeep Sharma,BF Bowden,S Ravi
Abu Dhabi,Sheikh Zayed Stadium,United Arab Emirates,29-04-2014,Group Stage,Kolkata Knight Riders,Rajasthan Royals,,,,,Rajasthan Royals,bat,Rajasthan Royals,Tied,,,,,JP Faulkner,Aleem Dar,AK Chaudhary
Dubai,Dubai International Cricket Stadium,United Arab Emirates,30-04-2014,Group Stage,Mumbai Indians,Sunrisers Hyderabad,,,,,Mumbai Indians,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,15,,B Kumar,HDPK Dharmasena,M Erasmus
Ranchi,JSCA International Stadium Complex,India,02-05-2014,Group Stage,Chennai Super Kings,Kolkata Knight Riders,,,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,34,,RA Jadeja,AK Chaudhary,NJ Llong
Mumbai,Wankhede Stadium,India,03-05-2014,Group Stage,Mumbai Indians,Kings XI Punjab,,,,,Kings XI Punjab,bat,Kings XI Punjab,Mumbai Indians,0,1,,5,CJ Anderson,BNJ Oxenford,C Shamshuddin
Delhi,Feroz Shah Kotla,India,03-05-2014,Group Stage,Delhi Daredevils,Rajasthan Royals,,,,,Rajasthan Royals,field,Delhi Daredevils,Rajasthan Royals,0,1,,7,KK Nair,SS Hazare,S Ravi
Bangalore,M Chinnaswamy Stadium,India,04-05-2014,Group Stage,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,0,1,,4,AB de Villiers,HDPK Dharmasena,VA Kulkarni
Ahmedabad,"Sardar Patel Stadium, Motera",India,05-05-2014,Group Stage,Rajasthan Royals,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Rajasthan Royals,Rajasthan Royals,1,0,10,,PV Tambe,NJ Llong,CK Nandan
Delhi,Feroz Shah Kotla,India,05-05-2014,Group Stage,Delhi Daredevils,Chennai Super Kings,,,,,Chennai Super Kings,field,Delhi Daredevils,Chennai Super Kings,0,1,,8,DR Smith,RM Deshpande,BNJ Oxenford
Mumbai,Wankhede Stadium,India,06-05-2014,Group Stage,Mumbai Indians,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Mumbai Indians,Mumbai Indians,1,0,19,,RG Sharma,S Ravi,K Srinath
Delhi,Feroz Shah Kotla,India,07-05-2014,Group Stage,Delhi Daredevils,Kolkata Knight Riders,,,,,Delhi Daredevils,bat,Delhi Daredevils,Kolkata Knight Riders,0,1,,8,G Gambhir,BNJ Oxenford,C Shamshuddin
Cuttack,Barabati Stadium,India,07-05-2014,Group Stage,Kings XI Punjab,Chennai Super Kings,,,,,Chennai Super Kings,field,Kings XI Punjab,Kings XI Punjab,1,0,44,,GJ Maxwell,HDPK Dharmasena,PG Pathak
Ahmedabad,"Sardar Patel Stadium, Motera",India,08-05-2014,Group Stage,Rajasthan Royals,Sunrisers Hyderabad,,,,,Rajasthan Royals,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,32,,B Kumar,AK Chaudhary,NJ Llong
Bangalore,M Chinnaswamy Stadium,India,09-05-2014,Group Stage,Royal Challengers Bangalore,Kings XI Punjab,,,,,Royal Challengers Bangalore,field,Kings XI Punjab,Kings XI Punjab,1,0,32,,Sandeep Sharma,S Ravi,K Srinath
Delhi,Feroz Shah Kotla,India,10-05-2014,Group Stage,Delhi Daredevils,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,field,Delhi Daredevils,Sunrisers Hyderabad,0,1,,8,DW Steyn,RM Deshpande,BNJ Oxenford
Mumbai,Wankhede Stadium,India,10-05-2014,Group Stage,Mumbai Indians,Chennai Super Kings,,,,,Chennai Super Kings,field,Mumbai Indians,Chennai Super Kings,0,1,,4,DR Smith,HDPK Dharmasena,VA Kulkarni
Cuttack,Barabati Stadium,India,11-05-2014,Group Stage,Kings XI Punjab,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Kings XI Punjab,Kolkata Knight Riders,0,1,,9,G Gambhir,NJ Llong,CK Nandan
Bangalore,M Chinnaswamy Stadium,India,11-05-2014,Group Stage,Royal Challengers Bangalore,Rajasthan Royals,,,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Rajasthan Royals,0,1,,5,JP Faulkner,S Ravi,RJ Tucker
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,12-05-2014,Group Stage,Sunrisers Hyderabad,Mumbai Indians,,,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Mumbai Indians,0,1,,7,AT Rayudu,HDPK Dharmasena,VA Kulkarni
Ranchi,JSCA International Stadium Complex,India,13-05-2014,Group Stage,Chennai Super Kings,Rajasthan Royals,,,,,Rajasthan Royals,bat,Rajasthan Royals,Chennai Super Kings,0,1,,5,RA Jadeja,BNJ Oxenford,C Shamshuddin
Bangalore,M Chinnaswamy Stadium,India,13-05-2014,Group Stage,Royal Challengers Bangalore,Delhi Daredevils,,,,,Delhi Daredevils,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,16,,Yuvraj Singh,K Srinath,RJ Tucker
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,14-05-2014,Group Stage,Sunrisers Hyderabad,Kings XI Punjab,,,,,Kings XI Punjab,field,Sunrisers Hyderabad,Kings XI Punjab,0,1,,6,WP Saha,VA Kulkarni,PG Pathak
Cuttack,Barabati Stadium,India,14-05-2014,Group Stage,Kolkata Knight Riders,Mumbai Indians,,,,,Kolkata Knight Riders,field,Mumbai Indians,Kolkata Knight Riders,0,1,,6,RV Uthappa,AK Chaudhary,NJ Llong
Ahmedabad,"Sardar Patel Stadium, Motera",India,15-05-2014,Group Stage,Rajasthan Royals,Delhi Daredevils,,,,,Delhi Daredevils,field,Rajasthan Royals,Rajasthan Royals,1,0,62,,AM Rahane,S Ravi,RJ Tucker
Ranchi,JSCA International Stadium Complex,India,18-05-2014,Group Stage,Chennai Super Kings,Royal Challengers Bangalore,,,,,Chennai Super Kings,bat,Chennai Super Kings,Royal Challengers Bangalore,0,1,,5,AB de Villiers,BNJ Oxenford,C Shamshuddin
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,18-05-2014,Group Stage,Sunrisers Hyderabad,Kolkata Knight Riders,,,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,,7,UT Yadav,NJ Llong,CK Nandan
Ahmedabad,"Sardar Patel Stadium, Motera",India,19-05-2014,Group Stage,Rajasthan Royals,Mumbai Indians,,,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,25,,MEK Hussey,S Ravi,RJ Tucker
Delhi,Feroz Shah Kotla,India,19-05-2014,Group Stage,Delhi Daredevils,Kings XI Punjab,,,,,Kings XI Punjab,field,Delhi Daredevils,Kings XI Punjab,0,1,,4,AR Patel,HDPK Dharmasena,PG Pathak
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,20-05-2014,Group Stage,Sunrisers Hyderabad,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Sunrisers Hyderabad,0,1,,7,DA Warner,AK Chaudhary,NJ Llong
Kolkata,Eden Gardens,India,20-05-2014,Group Stage,Kolkata Knight Riders,Chennai Super Kings,,,,,Kolkata Knight Riders,field,Chennai Super Kings,Kolkata Knight Riders,0,1,,8,RV Uthappa,RM Deshpande,C Shamshuddin
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,21-05-2014,Group Stage,Kings XI Punjab,Mumbai Indians,,,,,Mumbai Indians,field,Kings XI Punjab,Mumbai Indians,0,1,,7,LMP Simmons,HDPK Dharmasena,VA Kulkarni
Kolkata,Eden Gardens,India,22-05-2014,Group Stage,Kolkata Knight Riders,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,30,,RV Uthappa,AK Chaudhary,CK Nandan
Ranchi,JSCA International Stadium Complex,India,22-05-2014,Group Stage,Chennai Super Kings,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,field,Chennai Super Kings,Sunrisers Hyderabad,0,1,,6,DA Warner,BNJ Oxenford,C Shamshuddin
Mumbai,Wankhede Stadium,India,23-05-2014,Group Stage,Mumbai Indians,Delhi Daredevils,,,,,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,1,0,15,,MEK Hussey,S Ravi,RJ Tucker
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,23-05-2014,Group Stage,Kings XI Punjab,Rajasthan Royals,,,,,Rajasthan Royals,field,Kings XI Punjab,Kings XI Punjab,1,0,16,,SE Marsh,HDPK Dharmasena,PG Pathak
Bangalore,M Chinnaswamy Stadium,India,24-05-2014,Group Stage,Royal Challengers Bangalore,Chennai Super Kings,,,,,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,0,1,,8,MS Dhoni,AK Chaudhary,NJ Llong
Kolkata,Eden Gardens,India,24-05-2014,Group Stage,Kolkata Knight Riders,Sunrisers Hyderabad,,,,,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,,4,YK Pathan,RM Deshpande,BNJ Oxenford
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,25-05-2014,Group Stage,Kings XI Punjab,Delhi Daredevils,,,,,Kings XI Punjab,field,Delhi Daredevils,Kings XI Punjab,0,1,,7,M Vohra,HDPK Dharmasena,VA Kulkarni
Mumbai,Wankhede Stadium,India,25-05-2014,Group Stage,Mumbai Indians,Rajasthan Royals,,,,,Mumbai Indians,field,Rajasthan Royals,Mumbai Indians,0,1,,5,CJ Anderson,K Srinath,RJ Tucker
Kolkata,Eden Gardens,India,27-05-2014,Group Stage,Kings XI Punjab,Kolkata Knight Riders,,,,,Kings XI Punjab,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,28,,UT Yadav,NJ Llong,S Ravi
Mumbai,Brabourne Stadium,India,28-05-2014,Group Stage,Chennai Super Kings,Mumbai Indians,,,,,Chennai Super Kings,field,Mumbai Indians,Chennai Super Kings,0,1,,7,SK Raina,VA Kulkarni,BNJ Oxenford
Mumbai,Wankhede Stadium,India,30-05-2014,Group Stage,Chennai Super Kings,Kings XI Punjab,,,,,Chennai Super Kings,field,Kings XI Punjab,Kings XI Punjab,1,0,24,,V Sehwag,HDPK Dharmasena,RJ Tucker
Bangalore,M Chinnaswamy Stadium,India,01-06-2014,Group Stage,Kolkata Knight Riders,Kings XI Punjab,,,,,Kolkata Knight Riders,field,Kings XI Punjab,Kolkata Knight Riders,0,1,,3,MK Pandey,HDPK Dharmasena,BNJ Oxenford
Kolkata,Eden Gardens,India,08-04-2015,Group Stage,Kolkata Knight Riders,Mumbai Indians,,,,,Kolkata Knight Riders,field,Mumbai Indians,Kolkata Knight Riders,0,1,,7,M Morkel,S Ravi,C Shamshuddin
Chennai,"MA Chidambaram Stadium, Chepauk",India,09-04-2015,Group Stage,Chennai Super Kings,Delhi Daredevils,,,,,Delhi Daredevils,field,Chennai Super Kings,Chennai Super Kings,1,0,1,,A Nehra,RK Illingworth,VA Kulkarni
Pune,Maharashtra Cricket Association Stadium,India,10-04-2015,Group Stage,Kings XI Punjab,Rajasthan Royals,,,,,Kings XI Punjab,field,Rajasthan Royals,Rajasthan Royals,1,0,26,,JP Faulkner,SD Fry,CB Gaffaney
Chennai,"MA Chidambaram Stadium, Chepauk",India,11-04-2015,Group Stage,Chennai Super Kings,Sunrisers Hyderabad,,,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,45,,BB McCullum,RK Illingworth,VA Kulkarni
Kolkata,Eden Gardens,India,11-04-2015,Group Stage,Kolkata Knight Riders,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,3,CH Gayle,S Ravi,C Shamshuddin
Delhi,Feroz Shah Kotla,India,12-04-2015,Group Stage,Delhi Daredevils,Rajasthan Royals,,,,,Rajasthan Royals,field,Delhi Daredevils,Rajasthan Royals,0,1,,3,DJ Hooda,SD Fry,CB Gaffaney
Mumbai,Wankhede Stadium,India,12-04-2015,Group Stage,Mumbai Indians,Kings XI Punjab,,,,,Mumbai Indians,field,Kings XI Punjab,Kings XI Punjab,1,0,18,,GJ Bailey,AK Chaudhary,K Srinivasan
Bangalore,M Chinnaswamy Stadium,India,13-04-2015,Group Stage,Royal Challengers Bangalore,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Sunrisers Hyderabad,0,1,,8,DA Warner,RM Deshpande,RK Illingworth
Ahmedabad,"Sardar Patel Stadium, Motera",India,14-04-2015,Group Stage,Rajasthan Royals,Mumbai Indians,,,,,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,0,1,,7,SPD Smith,AK Chaudhary,SD Fry
Pune,Maharashtra Cricket Association Stadium,India,15-04-2015,Group Stage,Kings XI Punjab,Delhi Daredevils,,,,,Kings XI Punjab,bat,Kings XI Punjab,Delhi Daredevils,0,1,,5,MA Agarwal,CB Gaffaney,K Srinath
Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,16-04-2015,Group Stage,Sunrisers Hyderabad,Rajasthan Royals,,,,,Rajasthan Royals,field,Sunrisers Hyderabad,Rajasthan Royals,0,1,,6,AM Rahane,PG Pathak,S Ravi
Mumbai,Wankhede Stadium,India,17-04-2015,Group Stage,Mumbai Indians,Chennai Super Kings,,,,,Mumbai Indians,bat,Mumbai Indians,Chennai Super Kings,0,1,,6,A Nehra,AK Chaudhary,M Erasmus
Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,18-04-2015,Group Stage,Sunrisers Hyderabad,Delhi Daredevils,,,,,Delhi Daredevils,bat,Delhi Daredevils,Delhi Daredevils,1,0,4,,JP Duminy,PG Pathak,S Ravi
Pune,Maharashtra Cricket Association Stadium,India,18-04-2015,Group Stage,Kings XI Punjab,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Kings XI Punjab,Kolkata Knight Riders,0,1,,4,AD Russell,SD Fry,CK Nandan
Ahmedabad,"Sardar Patel Stadium, Motera",India,19-04-2015,Group Stage,Rajasthan Royals,Chennai Super Kings,,,,,Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,0,1,,8,AM Rahane,AK Chaudhary,M Erasmus
Bangalore,M Chinnaswamy Stadium,India,19-04-2015,Group Stage,Royal Challengers Bangalore,Mumbai Indians,,,,,Royal Challengers Bangalore,field,Mumbai Indians,Mumbai Indians,1,0,18,,Harbhajan Singh,RK Illingworth,VA Kulkarni
Delhi,Feroz Shah Kotla,India,20-04-2015,Group Stage,Delhi Daredevils,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Delhi Daredevils,Kolkata Knight Riders,0,1,,6,UT Yadav,SD Fry,CB Gaffaney
Ahmedabad,"Sardar Patel Stadium, Motera",India,21-04-2015,Group Stage,Rajasthan Royals,Kings XI Punjab,,,,,Kings XI Punjab,field,Rajasthan Royals,Tied,,,,,SE Marsh,M Erasmus,S Ravi
Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,22-04-2015,Group Stage,Sunrisers Hyderabad,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,16,,DA Warner,RK Illingworth,VA Kulkarni
Bangalore,M Chinnaswamy Stadium,India,22-04-2015,Group Stage,Royal Challengers Bangalore,Chennai Super Kings,,,,,Royal Challengers Bangalore,field,Chennai Super Kings,Chennai Super Kings,1,0,27,,SK Raina,JD Cloete,C Shamshuddin
Delhi,Feroz Shah Kotla,India,23-04-2015,Group Stage,Delhi Daredevils,Mumbai Indians,,,,,Mumbai Indians,field,Delhi Daredevils,Delhi Daredevils,1,0,37,,SS Iyer,SD Fry,CK Nandan
Ahmedabad,"Sardar Patel Stadium, Motera",India,24-04-2015,Group Stage,Rajasthan Royals,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Rajasthan Royals,Royal Challengers Bangalore,0,1,,9,MA Starc,M Erasmus,S Ravi
Mumbai,Wankhede Stadium,India,25-04-2015,Group Stage,Mumbai Indians,Sunrisers Hyderabad,,,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,20,,SL Malinga,HDPK Dharmasena,CB Gaffaney
Chennai,"MA Chidambaram Stadium, Chepauk",India,25-04-2015,Group Stage,Chennai Super Kings,Kings XI Punjab,,,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,97,,BB McCullum,JD Cloete,C Shamshuddin
Delhi,Feroz Shah Kotla,India,26-04-2015,Group Stage,Delhi Daredevils,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Delhi Daredevils,Royal Challengers Bangalore,0,1,,10,VR Aaron,M Erasmus,S Ravi
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,27-04-2015,Group Stage,Kings XI Punjab,Sunrisers Hyderabad,,,,,Kings XI Punjab,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,20,,TA Boult,HDPK Dharmasena,CB Gaffaney
Chennai,"MA Chidambaram Stadium, Chepauk",India,28-04-2015,Group Stage,Chennai Super Kings,Kolkata Knight Riders,,,,,Kolkata Knight Riders,field,Chennai Super Kings,Chennai Super Kings,1,0,2,,DJ Bravo,RM Deshpande,VA Kulkarni
Bangalore,M Chinnaswamy Stadium,India,29-04-2015,Group Stage,Royal Challengers Bangalore,Rajasthan Royals,,,,,Rajasthan Royals,field,Royal Challengers Bangalore,Tied,,,,,,JD Cloete,PG Pathak
Kolkata,Eden Gardens,India,30-04-2015,Group Stage,Kolkata Knight Riders,Chennai Super Kings,,,,,Kolkata Knight Riders,field,Chennai Super Kings,Kolkata Knight Riders,0,1,,7,AD Russell,AK Chaudhary,M Erasmus
Delhi,Feroz Shah Kotla,India,01-05-2015,Group Stage,Delhi Daredevils,Kings XI Punjab,,,,,Delhi Daredevils,field,Kings XI Punjab,Delhi Daredevils,0,1,,9,NM Coulter-Nile,RK Illingworth,S Ravi
Mumbai,Wankhede Stadium,India,01-05-2015,Group Stage,Mumbai Indians,Rajasthan Royals,,,,,Rajasthan Royals,field,Mumbai Indians,Mumbai Indians,1,0,8,,AT Rayudu,HDPK Dharmasena,CK Nandan
Bangalore,M Chinnaswamy Stadium,India,02-05-2015,Group Stage,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,7,Mandeep Singh,JD Cloete,PG Pathak
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,02-05-2015,Group Stage,Sunrisers Hyderabad,Chennai Super Kings,,,,,Chennai Super Kings,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,22,,DA Warner,AK Chaudhary,K Srinivasan
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,03-05-2015,Group Stage,Kings XI Punjab,Mumbai Indians,,,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,23,,LMP Simmons,RK Illingworth,VA Kulkarni
Mumbai,Brabourne Stadium,India,03-05-2015,Group Stage,Rajasthan Royals,Delhi Daredevils,,,,,Delhi Daredevils,field,Rajasthan Royals,Rajasthan Royals,1,0,14,,AM Rahane,HDPK Dharmasena,CB Gaffaney
Chennai,"MA Chidambaram Stadium, Chepauk",India,04-05-2015,Group Stage,Chennai Super Kings,Royal Challengers Bangalore,,,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,24,,SK Raina,C Shamshuddin,K Srinath
Kolkata,Eden Gardens,India,04-05-2015,Group Stage,Kolkata Knight Riders,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,35,,UT Yadav,AK Chaudhary,M Erasmus
Mumbai,Wankhede Stadium,India,05-05-2015,Group Stage,Mumbai Indians,Delhi Daredevils,,,,,Delhi Daredevils,bat,Delhi Daredevils,Mumbai Indians,0,1,,5,Harbhajan Singh,HDPK Dharmasena,CB Gaffaney
Bangalore,M Chinnaswamy Stadium,India,06-05-2015,Group Stage,Royal Challengers Bangalore,Kings XI Punjab,,,,,Kings XI Punjab,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,138,,CH Gayle,RK Illingworth,VA Kulkarni
Kolkata,Eden Gardens,India,07-05-2015,Group Stage,Kolkata Knight Riders,Delhi Daredevils,,,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,13,,PP Chawla,AK Chaudhary,M Erasmus
Mumbai,Brabourne Stadium,India,07-05-2015,Group Stage,Rajasthan Royals,Sunrisers Hyderabad,,,,,Rajasthan Royals,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,7,,EJG Morgan,JD Cloete,C Shamshuddin
Chennai,"MA Chidambaram Stadium, Chepauk",India,08-05-2015,Group Stage,Chennai Super Kings,Mumbai Indians,,,,,Chennai Super Kings,bat,Chennai Super Kings,Mumbai Indians,0,1,,6,HH Pandya,CB Gaffaney,CK Nandan
Kolkata,Eden Gardens,India,09-05-2015,Group Stage,Kolkata Knight Riders,Kings XI Punjab,,,,,Kings XI Punjab,bat,Kings XI Punjab,Kolkata Knight Riders,0,1,,1,AD Russell,AK Chaudhary,HDPK Dharmasena
Raipur,Shaheed Veer Narayan Singh International Stadium,India,09-05-2015,Group Stage,Delhi Daredevils,Sunrisers Hyderabad,,,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,6,,MC Henriques,VA Kulkarni,S Ravi
Mumbai,Wankhede Stadium,India,10-05-2015,Group Stage,Mumbai Indians,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,39,,AB de Villiers,JD Cloete,C Shamshuddin
Chennai,"MA Chidambaram Stadium, Chepauk",India,10-05-2015,Group Stage,Chennai Super Kings,Rajasthan Royals,,,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,12,,RA Jadeja,M Erasmus,CK Nandan
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",India,11-05-2015,Group Stage,Sunrisers Hyderabad,Kings XI Punjab,,,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,5,,DA Warner,AK Chaudhary,HDPK Dharmasena
Raipur,Shaheed Veer Narayan Singh International Stadium,India,12-05-2015,Group Stage,Delhi Daredevils,Chennai Super Kings,,,,,Chennai Super Kings,bat,Chennai Super Kings,Delhi Daredevils,0,1,,6,Z Khan,RK Illingworth,VA Kulkarni
Chandigarh,"Punjab Cricket Association Stadium, Mohali",India,13-05-2015,Group Stage,Kings XI Punjab,Royal Challengers Bangalore,,,,,Royal Challengers Bangalore,field,Kings XI Punjab,Kings XI Punjab,1,0,22,,AR Patel,JD Cloete,C Shamshuddin
