City,Venue,Date,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016-05-15,Kings XI Punjab,Sunrisers Hyderabad,,,Kings XI Punjab,bat,Kings XI Punjab,Sunrisers Hyderabad,0,1,,7,HM Amla,KN Ananthapadmanabhan,M Erasmus
Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-15,Mumbai Indians,Delhi Daredevils,,,Delhi Daredevils,field,Mumbai Indians,Mumbai Indians,1,0,80,,KH Pandya,Nitin Menon,CK Nandan
Kolkata,Eden Gardens,2016-05-16,Kolkata Knight Riders,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,9,V Kohli,CB Gaffaney,A Nand Kishore
Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-17,Rising Pune Supergiants,Delhi Daredevils,,,Rising Pune Supergiants,field,Delhi Daredevils,Rising Pune Supergiants,1,0,19,,AB Dinda,Nitin Menon,C Shamshuddin
Bangalore,M Chinnaswamy Stadium,2016-05-18,Royal Challengers Bangalore,Kings XI Punjab,,,Kings XI Punjab,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,82,,V Kohli,KN Ananthapadmanabhan,M Erasmus
Kanpur,Green Park,2016-05-19,Gujarat Lions,Kolkata Knight Riders,,,Gujarat Lions,field,Kolkata Knight Riders,Gujarat Lions,0,1,,6,DR Smith,AK Chaudhary,CK Nandan
Raipur,Shaheed Veer Narayan Singh International Stadium,2016-05-20,Delhi Daredevils,Sunrisers Hyderabad,,,Delhi Daredevils,field,Sunrisers Hyderabad,Delhi Daredevils,0,1,,6,KK Nair,A Nand Kishore,BNJ Oxenford
Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Rising Pune Supergiants,Kings XI Punjab,,,Kings XI Punjab,bat,Kings XI Punjab,Rising Pune Supergiants,0,1,,4,MS Dhoni,HDPK Dharmasena,Nitin Menon
Kanpur,Green Park,2016-05-21,Gujarat Lions,Mumbai Indians,,,Gujarat Lions,field,Mumbai Indians,Gujarat Lions,0,1,,6,SK Raina,AK Chaudhary,CK Nandan
Kolkata,Eden Gardens,2016-05-22,Kolkata Knight Riders,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,22,,YK Pathan,KN Ananthapadmanabhan,M Erasmus
