City,Venue,Date,Team 1,Team 2,Team 1 Captain,Team 2 Captain,Toss Winner,Decision,Opening Team,Winner,By Runs,By Wickets,Run Won By,Wickets Won By,Player of the Match,Umpire 1,Umpire 2
Mumbai,Wankhede Stadium,2018-05-27,Chennai Super Kings,Sunrisers Hyderabad,,,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,0,1,,8,SR Watson,M Erasmus,S Ravi
Chennai,"MA Chidambaram Stadium, Chepauk",2019-03-23,Chennai Super Kings,Royal Challengers Bangalore,,,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,0,1,,7,Harbhajan Singh,AY Dandekar,BNJ Oxenford
Kolkata,Eden Gardens,2019-03-24,Kolkata Knight Riders,Sunrisers Hyderabad,,,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,,6,AD Russell,CB Gaffaney,AK Chaudhary
Mumbai,Wankhede Stadium,2019-03-24,Mumbai Indians,Delhi Capitals,,,Mumbai Indians,field,Delhi Capitals,Delhi Capitals,1,0,37,,RR Pant,YC Barde,S Ravi
Jaipur,Sawai Mansingh Stadium,2019-03-25,Rajasthan Royals,Kings XI Punjab,,,Rajasthan Royals,field,Kings XI Punjab,Kings XI Punjab,1,0,14,,CH Gayle,KN Ananthapadmanabhan,C Shamshuddin
Delhi,Feroz Shah Kotla,2019-03-26,Delhi Capitals,Chennai Super Kings,,,Delhi Capitals,bat,Delhi Capitals,Chennai Super Kings,0,1,,6,SR Watson,M Erasmus,Nitin Menon
Kolkata,Eden Gardens,2019-03-27,Kolkata Knight Riders,Kings XI Punjab,,,Kings XI Punjab,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,28,,AD Russell,VA Kulkarni,AK Chaudhary
Bengaluru,M.Chinnaswamy Stadium,2019-03-28,Royal Challengers Bangalore,Mumbai Indians,,,Royal Challengers Bangalore,field,Mumbai Indians,Mumbai Indians,1,0,6,,JJ Bumrah,CK Nandan,S Ravi
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2019-03-29,Sunrisers Hyderabad,Rajasthan Royals,,,Rajasthan Royals,bat,Rajasthan Royals,Sunrisers Hyderabad,0,1,,5,Rashid Khan,C Shamshuddin,BNJ Oxenford
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-03-30,Kings XI Punjab,Mumbai Indians,,,Kings XI Punjab,field,Mumbai Indians,Kings XI Punjab,0,1,,8,MA Agarwal,VA Kulkarni,CB Gaffaney
Delhi,Feroz Shah Kotla,2019-03-30,Delhi Capitals,Kolkata Knight Riders,,,Delhi Capitals,field,Kolkata Knight Riders,Tied,,,,,PP Shaw,AY Dandekar,Nitin Menon
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2019-03-31,Sunrisers Hyderabad,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,118,,JM Bairstow,KN Ananthapadmanabhan,S Ravi
Chennai,"MA Chidambaram Stadium, Chepauk",2019-03-31,Chennai Super Kings,Rajasthan Royals,,,Rajasthan Royals,field,Chennai Super Kings,Chennai Super Kings,1,0,8,,MS Dhoni,YC Barde,CK Nandan
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-04-01,Kings XI Punjab,Delhi Capitals,,,Delhi Capitals,field,Kings XI Punjab,Kings XI Punjab,1,0,14,,SM Curran,CB Gaffaney,AK Chaudhary
Jaipur,Sawai Mansingh Stadium,2019-04-02,Rajasthan Royals,Royal Challengers Bangalore,,,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,0,1,,7,S Gopal,AY Dandekar,M Erasmus
Mumbai,Wankhede Stadium,2019-04-03,Mumbai Indians,Chennai Super Kings,,,Chennai Super Kings,field,Mumbai Indians,Mumbai Indians,1,0,37,,HH Pandya,RJ Tucker,BNJ Oxenford
Delhi,Feroz Shah Kotla,2019-04-04,Delhi Capitals,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Delhi Capitals,Sunrisers Hyderabad,0,1,,5,JM Bairstow,KN Ananthapadmanabhan,C Shamshuddin
Bengaluru,M.Chinnaswamy Stadium,2019-04-05,Royal Challengers Bangalore,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,,5,AD Russell,CB Gaffaney,AK Chaudhary
Chennai,"MA Chidambaram Stadium, Chepauk",2019-04-06,Chennai Super Kings,Kings XI Punjab,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,22,,Harbhajan Singh,KN Ananthapadmanabhan,RJ Tucker
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2019-04-06,Sunrisers Hyderabad,Mumbai Indians,,,Sunrisers Hyderabad,field,Mumbai Indians,Mumbai Indians,1,0,40,,AS Joseph,AY Dandekar,Nitin Menon
Bengaluru,M.Chinnaswamy Stadium,2019-04-07,Royal Challengers Bangalore,Delhi Capitals,,,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,0,1,,4,K Rabada,YC Barde,S Ravi
Jaipur,Sawai Mansingh Stadium,2019-04-07,Rajasthan Royals,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Rajasthan Royals,Kolkata Knight Riders,0,1,,8,HF Gurney,CB Gaffaney,AK Chaudhary
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-04-08,Kings XI Punjab,Sunrisers Hyderabad,,,Kings XI Punjab,field,Sunrisers Hyderabad,Kings XI Punjab,0,1,,6,KL Rahul,AY Dandekar,M Erasmus
Chennai,"MA Chidambaram Stadium, Chepauk",2019-04-09,Chennai Super Kings,Kolkata Knight Riders,,,Chennai Super Kings,field,Kolkata Knight Riders,Chennai Super Kings,0,1,,7,DL Chahar,RJ Tucker,C Shamshuddin
Mumbai,Wankhede Stadium,2019-04-10,Mumbai Indians,Kings XI Punjab,,,Mumbai Indians,field,Kings XI Punjab,Mumbai Indians,0,1,,3,KA Pollard,YC Barde,S Ravi
Jaipur,Sawai Mansingh Stadium,2019-04-11,Rajasthan Royals,Chennai Super Kings,,,Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,0,1,,4,MS Dhoni,UV Gandhe,BNJ Oxenford
Kolkata,Eden Gardens,2019-04-12,Kolkata Knight Riders,Delhi Capitals,,,Delhi Capitals,field,Kolkata Knight Riders,Delhi Capitals,0,1,,7,S Dhawan,YC Barde,CK Nandan
Mumbai,Wankhede Stadium,2019-04-13,Mumbai Indians,Rajasthan Royals,,,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,0,1,,4,JC Buttler,Nitin Menon,A Nand Kishore
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-04-13,Kings XI Punjab,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Kings XI Punjab,Royal Challengers Bangalore,0,1,,8,AB de Villiers,UV Gandhe,S Ravi
Kolkata,Eden Gardens,2019-04-14,Kolkata Knight Riders,Chennai Super Kings,,,Chennai Super Kings,field,Kolkata Knight Riders,Chennai Super Kings,0,1,,5,Imran Tahir,RJ Tucker,CK Nandan
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2019-04-14,Sunrisers Hyderabad,Delhi Capitals,,,Sunrisers Hyderabad,field,Delhi Capitals,Delhi Capitals,1,0,39,,KMA Paul,BNJ Oxenford,AK Chaudhary
Mumbai,Wankhede Stadium,2019-04-15,Mumbai Indians,Royal Challengers Bangalore,,,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,0,1,,5,SL Malinga,M Erasmus,Nitin Menon
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-04-16,Kings XI Punjab,Rajasthan Royals,,,Rajasthan Royals,field,Kings XI Punjab,Kings XI Punjab,1,0,12,,R Ashwin,VA Kulkarni,AK Chaudhary
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2019-04-17,Sunrisers Hyderabad,Chennai Super Kings,,,Chennai Super Kings,bat,Chennai Super Kings,Sunrisers Hyderabad,0,1,,6,DA Warner,UV Gandhe,IJ Gould
Delhi,Feroz Shah Kotla,2019-04-18,Delhi Capitals,Mumbai Indians,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,40,,HH Pandya,BNJ Oxenford,NJ Llong
Kolkata,Eden Gardens,2019-04-19,Kolkata Knight Riders,Royal Challengers Bangalore,,,Kolkata Knight Riders,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,10,,V Kohli,IJ Gould,Nitin Menon
Jaipur,Sawai Mansingh Stadium,2019-04-20,Rajasthan Royals,Mumbai Indians,,,Rajasthan Royals,field,Mumbai Indians,Rajasthan Royals,0,1,,5,SPD Smith,YC Barde,S Ravi
Delhi,Feroz Shah Kotla,2019-04-20,Delhi Capitals,Kings XI Punjab,,,Delhi Capitals,field,Kings XI Punjab,Delhi Capitals,0,1,,5,SS Iyer,UV Gandhe,C Shamshuddin
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2019-04-21,Sunrisers Hyderabad,Kolkata Knight Riders,,,Sunrisers Hyderabad,field,Kolkata Knight Riders,Sunrisers Hyderabad,0,1,,9,KK Ahmed,NJ Llong,Nitin Menon
Bengaluru,M.Chinnaswamy Stadium,2019-04-21,Royal Challengers Bangalore,Chennai Super Kings,,,Chennai Super Kings,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,1,,PA Patel,RJ Tucker,VA Kulkarni
Jaipur,Sawai Mansingh Stadium,2019-04-22,Rajasthan Royals,Delhi Capitals,,,Delhi Capitals,field,Rajasthan Royals,Delhi Capitals,0,1,,6,RR Pant,A Nand Kishore,S Ravi
Chennai,"MA Chidambaram Stadium, Chepauk",2019-04-23,Chennai Super Kings,Sunrisers Hyderabad,,,Chennai Super Kings,field,Sunrisers Hyderabad,Chennai Super Kings,0,1,,6,SR Watson,NJ Llong,AK Chaudhary
Bengaluru,M.Chinnaswamy Stadium,2019-04-24,Royal Challengers Bangalore,Kings XI Punjab,,,Kings XI Punjab,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,17,,AB de Villiers,C Shamshuddin,BNJ Oxenford
Kolkata,Eden Gardens,2019-04-25,Kolkata Knight Riders,Rajasthan Royals,,,Rajasthan Royals,field,Kolkata Knight Riders,Rajasthan Royals,0,1,,3,VR Aaron,AY Dandekar,IJ Gould
Chennai,"MA Chidambaram Stadium, Chepauk",2019-04-26,Chennai Super Kings,Mumbai Indians,,,Chennai Super Kings,field,Mumbai Indians,Mumbai Indians,1,0,46,,RG Sharma,NJ Llong,AK Chaudhary
Jaipur,Sawai Mansingh Stadium,2019-04-27,Rajasthan Royals,Sunrisers Hyderabad,,,Rajasthan Royals,field,Sunrisers Hyderabad,Rajasthan Royals,0,1,,7,JD Unadkat,YC Barde,A Nand Kishore
Delhi,Feroz Shah Kotla,2019-04-28,Delhi Capitals,Royal Challengers Bangalore,,,Delhi Capitals,bat,Delhi Capitals,Delhi Capitals,1,0,16,,S Dhawan,KN Ananthapadmanabhan,BNJ Oxenford
Kolkata,Eden Gardens,2019-04-28,Kolkata Knight Riders,Mumbai Indians,,,Mumbai Indians,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,34,,AD Russell,IJ Gould,Nitin Menon
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2019-04-29,Sunrisers Hyderabad,Kings XI Punjab,,,Kings XI Punjab,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,45,,DA Warner,CK Nandan,S Ravi
Bengaluru,M.Chinnaswamy Stadium,2019-04-30,Royal Challengers Bangalore,Rajasthan Royals,,,Rajasthan Royals,field,Royal Challengers Bangalore,Tied,,,,,,UV Gandhe,NJ Llong
Chennai,"MA Chidambaram Stadium, Chepauk",2019-05-01,Chennai Super Kings,Delhi Capitals,,,Delhi Capitals,field,Chennai Super Kings,Chennai Super Kings,1,0,80,,MS Dhoni,AY Dandekar,Nitin Menon
Mumbai,Wankhede Stadium,2019-05-02,Mumbai Indians,Sunrisers Hyderabad,,,Mumbai Indians,bat,Mumbai Indians,Tied,,,,,JJ Bumrah,CK Nandan,S Ravi
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-05-03,Kings XI Punjab,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Kings XI Punjab,Kolkata Knight Riders,0,1,,7,Shubman Gill,C Shamshuddin,BNJ Oxenford
Delhi,Feroz Shah Kotla,2019-05-04,Delhi Capitals,Rajasthan Royals,,,Rajasthan Royals,bat,Rajasthan Royals,Delhi Capitals,0,1,,5,A Mishra,AY Dandekar,IJ Gould
Bengaluru,M.Chinnaswamy Stadium,2019-05-04,Royal Challengers Bangalore,Sunrisers Hyderabad,,,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,0,1,,4,SO Hetmyer,NJ Llong,AK Chaudhary
Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2019-05-05,Kings XI Punjab,Chennai Super Kings,,,Kings XI Punjab,field,Chennai Super Kings,Kings XI Punjab,0,1,,6,KL Rahul,KN Ananthapadmanabhan,C Shamshuddin
Mumbai,Wankhede Stadium,2019-05-05,Mumbai Indians,Kolkata Knight Riders,,,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,0,1,,9,HH Pandya,A Nand Kishore,CK Nandan
Chennai,"MA Chidambaram Stadium, Chepauk",2019-05-07,Mumbai Indians,Chennai Super Kings,,,Chennai Super Kings,bat,Chennai Super Kings,Mumbai Indians,0,1,,6,SA Yadav,NJ Llong,Nitin Menon
Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2019-05-08,Delhi Capitals,Sunrisers Hyderabad,,,Delhi Capitals,field,Sunrisers Hyderabad,Delhi Capitals,0,1,,2,RR Pant,BNJ Oxenford,S Ravi
Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2019-05-10,Chennai Super Kings,Delhi Capitals,,,Chennai Super Kings,field,Delhi Capitals,Chennai Super Kings,0,1,,6,F du Plessis,BNJ Oxenford,S Ravi
Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2019-05-12,Mumbai Indians,Chennai Super Kings,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,1,,JJ Bumrah,IJ Gould,Nitin Menon
Abu Dhabi,Sheikh Zayed Stadium,2020-09-19,Mumbai Indians,Chennai Super Kings,,,Chennai Super Kings,field,Mumbai Indians,Chennai Super Kings,0,1,,5,AT Rayudu,CB Gaffaney,VK Sharma
,Dubai International Cricket Stadium,2020-09-20,Delhi Capitals,Kings XI Punjab,,,Kings XI Punjab,field,Delhi Capitals,Tied,,,,,MP Stoinis,AK Chaudhary,Nitin Menon
Abu Dhabi,Sheikh Zayed Stadium,2020-10-21,Kolkata Knight Riders,Royal Challengers Bangalore,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,,8,Mohammed Siraj,VK Sharma,S Ravi
,Sharjah Cricket Stadium,2020-11-03,Mumbai Indians,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Mumbai Indians,Sunrisers Hyderabad,0,1,,10,S Nadeem,C Shamshuddin,RK Illingworth
,Sharjah Cricket Stadium,2020-09-22,Rajasthan Royals,Chennai Super Kings,,,Chennai Super Kings,field,Rajasthan Royals,Rajasthan Royals,1,0,16,,SV Samson,C Shamshuddin,VA Kulkarni
Abu Dhabi,Sheikh Zayed Stadium,2020-10-24,Kolkata Knight Riders,Delhi Capitals,,,Delhi Capitals,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,59,,CV Varun,CB Gaffaney,PG Pathak
,Dubai International Cricket Stadium,2020-10-24,Kings XI Punjab,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Kings XI Punjab,Kings XI Punjab,1,0,12,,CJ Jordan,AY Dandekar,PR Reiffel
Abu Dhabi,Sheikh Zayed Stadium,2020-10-28,Royal Challengers Bangalore,Mumbai Indians,,,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,0,1,,5,SA Yadav,UV Gandhe,CB Gaffaney
,Sharjah Cricket Stadium,2020-10-09,Delhi Capitals,Rajasthan Royals,,,Rajasthan Royals,field,Delhi Capitals,Delhi Capitals,1,0,46,,R Ashwin,KN Ananthapadmanabhan,C Shamshuddin
Abu Dhabi,Sheikh Zayed Stadium,2020-10-07,Kolkata Knight Riders,Chennai Super Kings,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,10,,RA Tripathi,KN Ananthapadmanabhan,RK Illingworth
,Sharjah Cricket Stadium,2020-10-31,Royal Challengers Bangalore,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Sunrisers Hyderabad,0,1,,5,Sandeep Sharma,KN Ananthapadmanabhan,K Srinivasan
Abu Dhabi,Sheikh Zayed Stadium,2020-10-01,Mumbai Indians,Kings XI Punjab,,,Kings XI Punjab,field,Mumbai Indians,Mumbai Indians,1,0,48,,KA Pollard,VK Sharma,S Ravi
,Dubai International Cricket Stadium,2020-09-30,Kolkata Knight Riders,Rajasthan Royals,,,Rajasthan Royals,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,37,,Shivam Mavi,KN Ananthapadmanabhan,C Shamshuddin
Abu Dhabi,Sheikh Zayed Stadium,2020-11-02,Royal Challengers Bangalore,Delhi Capitals,,,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,0,1,,6,A Nortje,CB Gaffaney,S Ravi
Abu Dhabi,Sheikh Zayed Stadium,2020-11-01,Kings XI Punjab,Chennai Super Kings,,,Chennai Super Kings,field,Kings XI Punjab,Chennai Super Kings,0,1,,9,RD Gaikwad,PG Pathak,VK Sharma
,Dubai International Cricket Stadium,2020-10-11,Sunrisers Hyderabad,Rajasthan Royals,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Rajasthan Royals,0,1,,5,R Tewatia,YC Barde,PR Reiffel
Abu Dhabi,Sheikh Zayed Stadium,2020-09-23,Mumbai Indians,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Mumbai Indians,Mumbai Indians,1,0,49,,RG Sharma,CB Gaffaney,S Ravi
,Sharjah Cricket Stadium,2020-10-17,Chennai Super Kings,Delhi Capitals,,,Chennai Super Kings,bat,Chennai Super Kings,Delhi Capitals,0,1,,5,S Dhawan,KN Ananthapadmanabhan,RK Illingworth
,Dubai International Cricket Stadium,2020-09-24,Kings XI Punjab,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Kings XI Punjab,Kings XI Punjab,1,0,97,,KL Rahul,AK Chaudhary,PR Reiffel
Abu Dhabi,Sheikh Zayed Stadium,2020-10-06,Mumbai Indians,Rajasthan Royals,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,57,,SA Yadav,VK Sharma,S Ravi
Abu Dhabi,Sheikh Zayed Stadium,2020-10-18,Kolkata Knight Riders,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Kolkata Knight Riders,Tied,,,,,LH Ferguson,PG Pathak,S Ravi
,Dubai International Cricket Stadium,2020-10-04,Kings XI Punjab,Chennai Super Kings,,,Kings XI Punjab,bat,Kings XI Punjab,Chennai Super Kings,0,1,,10,SR Watson,AY Dandekar,Nitin Menon
Abu Dhabi,Sheikh Zayed Stadium,2020-10-03,Rajasthan Royals,Royal Challengers Bangalore,,,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,0,1,,8,YS Chahal,CB Gaffaney,S Ravi
,Sharjah Cricket Stadium,2020-10-03,Delhi Capitals,Kolkata Knight Riders,,,Kolkata Knight Riders,field,Delhi Capitals,Delhi Capitals,1,0,18,,SS Iyer,VA Kulkarni,RK Illingworth
,Dubai International Cricket Stadium,2020-10-02,Sunrisers Hyderabad,Chennai Super Kings,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,7,,PK Garg,AK Chaudhary,PR Reiffel
,Dubai International Cricket Stadium,2020-10-18,Mumbai Indians,Kings XI Punjab,,,Mumbai Indians,bat,Mumbai Indians,Tied,,,,,KL Rahul,Nitin Menon,PR Reiffel
,Dubai International Cricket Stadium,2020-10-22,Rajasthan Royals,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,0,1,,8,MK Pandey,Nitin Menon,PR Reiffel
,Dubai International Cricket Stadium,2020-10-05,Delhi Capitals,Royal Challengers Bangalore,,,Royal Challengers Bangalore,field,Delhi Capitals,Delhi Capitals,1,0,59,,AR Patel,Nitin Menon,YC Barde
,Sharjah Cricket Stadium,2020-10-26,Kolkata Knight Riders,Kings XI Punjab,,,Kings XI Punjab,field,Kolkata Knight Riders,Kings XI Punjab,0,1,,8,CH Gayle,KN Ananthapadmanabhan,RK Illingworth
,Sharjah Cricket Stadium,2020-10-23,Chennai Super Kings,Mumbai Indians,,,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,0,1,,10,TA Boult,C Shamshuddin,VA Kulkarni
,Dubai International Cricket Stadium,2020-10-17,Rajasthan Royals,Royal Challengers Bangalore,,,Rajasthan Royals,bat,Rajasthan Royals,Royal Challengers Bangalore,0,1,,7,AB de Villiers,AK Chaudhary,Nitin Menon
Abu Dhabi,Sheikh Zayed Stadium,2020-10-10,Kolkata Knight Riders,Kings XI Punjab,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Kolkata Knight Riders,1,0,2,,KD Karthik,UV Gandhe,CB Gaffaney
,Dubai International Cricket Stadium,2020-10-27,Sunrisers Hyderabad,Delhi Capitals,,,Delhi Capitals,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,88,,WP Saha,AK Chaudhary,Nitin Menon
,Dubai International Cricket Stadium,2020-10-10,Royal Challengers Bangalore,Chennai Super Kings,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,37,,V Kohli,AK Chaudhary,PR Reiffel
Abu Dhabi,Sheikh Zayed Stadium,2020-10-16,Kolkata Knight Riders,Mumbai Indians,,,Kolkata Knight Riders,bat,Kolkata Knight Riders,Mumbai Indians,0,1,,8,Q de Kock,CB Gaffaney,VK Sharma
,Sharjah Cricket Stadium,2020-09-27,Kings XI Punjab,Rajasthan Royals,,,Rajasthan Royals,field,Kings XI Punjab,Rajasthan Royals,0,1,,4,SV Samson,RK Illingworth,K Srinivasan
,Dubai International Cricket Stadium,2020-10-13,Chennai Super Kings,Sunrisers Hyderabad,,,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,1,0,20,,RA Jadeja,AK Chaudhary,PR Reiffel
Abu Dhabi,Sheikh Zayed Stadium,2020-10-11,Delhi Capitals,Mumbai Indians,,,Delhi Capitals,bat,Delhi Capitals,Mumbai Indians,0,1,,5,Q de Kock,CB Gaffaney,S Ravi
,Dubai International Cricket Stadium,2020-11-01,Kolkata Knight Riders,Rajasthan Royals,,,Rajasthan Royals,field,Kolkata Knight Riders,Kolkata Knight Riders,1,0,60,,PJ Cummins,Nitin Menon,PR Reiffel
,Sharjah Cricket Stadium,2020-10-15,Royal Challengers Bangalore,Kings XI Punjab,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kings XI Punjab,0,1,,8,KL Rahul,KN Ananthapadmanabhan,C Shamshuddin
Abu Dhabi,Sheikh Zayed Stadium,2020-09-29,Sunrisers Hyderabad,Delhi Capitals,,,Delhi Capitals,field,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,15,,Rashid Khan,VK Sharma,S Ravi
Abu Dhabi,Sheikh Zayed Stadium,2020-10-19,Chennai Super Kings,Rajasthan Royals,,,Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,0,1,,7,JC Buttler,CB Gaffaney,VK Sharma
,Dubai International Cricket Stadium,2020-09-21,Royal Challengers Bangalore,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,10,,YS Chahal,AY Dandekar,Nitin Menon
,Dubai International Cricket Stadium,2020-10-31,Delhi Capitals,Mumbai Indians,,,Mumbai Indians,field,Delhi Capitals,Mumbai Indians,0,1,,9,Ishan Kishan,YC Barde,PR Reiffel
,Dubai International Cricket Stadium,2020-10-29,Kolkata Knight Riders,Chennai Super Kings,,,Chennai Super Kings,field,Kolkata Knight Riders,Chennai Super Kings,0,1,,6,RD Gaikwad,C Shamshuddin,RK Illingworth
Abu Dhabi,Sheikh Zayed Stadium,2020-10-30,Kings XI Punjab,Rajasthan Royals,,,Rajasthan Royals,field,Kings XI Punjab,Rajasthan Royals,0,1,,7,BA Stokes,CB Gaffaney,S Ravi
,Sharjah Cricket Stadium,2020-10-04,Mumbai Indians,Sunrisers Hyderabad,,,Mumbai Indians,bat,Mumbai Indians,Mumbai Indians,1,0,34,,TA Boult,KN Ananthapadmanabhan,RK Illingworth
,Dubai International Cricket Stadium,2020-09-25,Delhi Capitals,Chennai Super Kings,,,Chennai Super Kings,field,Delhi Capitals,Delhi Capitals,1,0,44,,PP Shaw,KN Ananthapadmanabhan,RK Illingworth
,Sharjah Cricket Stadium,2020-10-12,Royal Challengers Bangalore,Kolkata Knight Riders,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,82,,AB de Villiers,RK Illingworth,K Srinivasan
Abu Dhabi,Sheikh Zayed Stadium,2020-10-25,Mumbai Indians,Rajasthan Royals,,,Mumbai Indians,bat,Mumbai Indians,Rajasthan Royals,0,1,,8,BA Stokes,UV Gandhe,VK Sharma
,Dubai International Cricket Stadium,2020-10-08,Sunrisers Hyderabad,Kings XI Punjab,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0,69,,JM Bairstow,AK Chaudhary,Nitin Menon
,Dubai International Cricket Stadium,2020-10-14,Delhi Capitals,Rajasthan Royals,,,Delhi Capitals,bat,Delhi Capitals,Delhi Capitals,1,0,13,,A Nortje,AK Chaudhary,Nitin Menon
,Dubai International Cricket Stadium,2020-10-25,Royal Challengers Bangalore,Chennai Super Kings,,,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Chennai Super Kings,0,1,,8,RD Gaikwad,C Shamshuddin,RK Illingworth
Abu Dhabi,Sheikh Zayed Stadium,2020-09-26,Sunrisers Hyderabad,Kolkata Knight Riders,,,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,,7,Shubman Gill,CB Gaffaney,VK Sharma
,Dubai International Cricket Stadium,2020-10-20,Delhi Capitals,Kings XI Punjab,,,Delhi Capitals,bat,Delhi Capitals,Kings XI Punjab,0,1,,5,S Dhawan,C Shamshuddin,RK Illingworth
,Dubai International Cricket Stadium,2020-09-28,Royal Challengers Bangalore,Mumbai Indians,,,Mumbai Indians,field,Royal Challengers Bangalore,Tied,,,,,AB de Villiers,Nitin Menon,PR Reiffel
,Dubai International Cricket Stadium,2020-11-05,Mumbai Indians,Delhi Capitals,,,Delhi Capitals,field,Mumbai Indians,Mumbai Indians,1,0,57,,JJ Bumrah,CB Gaffaney,Nitin Menon
Abu Dhabi,Sheikh Zayed Stadium,2020-11-06,Royal Challengers Bangalore,Sunrisers Hyderabad,,,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Sunrisers Hyderabad,0,1,,6,KS Williamson,PR Reiffel,S Ravi
Abu Dhabi,Sheikh Zayed Stadium,2020-11-08,Delhi Capitals,Sunrisers Hyderabad,,,Delhi Capitals,bat,Delhi Capitals,Delhi Capitals,1,0,17,,MP Stoinis,PR Reiffel,S Ravi
